frame_index,time_seconds,fish_name,x_cm,y_cm,z_cm
0,0.0,fish1,29.57,18.07,0.94
1,0.007142857142857143,fish1,29.51,18.09,0.93
2,0.014285714285714285,fish1,29.47,18.12,0.92
3,0.02142857142857143,fish1,29.44,18.15,0.91
4,0.02857142857142857,fish1,29.41,18.18,0.91
5,0.03571428571428571,fish1,29.4,18.22,0.91
6,0.04285714285714286,fish1,29.41,18.27,0.91
7,0.05,fish1,29.41,18.31,0.91
8,0.05714285714285714,fish1,29.4,18.34,0.91
9,0.06428571428571428,fish1,29.38,18.35,0.9
10,0.07142857142857142,fish1,29.34,18.38,0.9
11,0.07857142857142857,fish1,29.3,18.43,0.91
12,0.08571428571428572,fish1,29.26,18.49,0.92
13,0.09285714285714286,fish1,29.24,18.54,0.94
14,0.1,fish1,29.22,18.59,0.96
15,0.10714285714285714,fish1,29.23,18.65,0.99
16,0.11428571428571428,fish1,29.23,18.68,0.99
17,0.12142857142857143,fish1,29.24,18.68,0.97
18,0.12857142857142856,fish1,29.24,18.68,0.95
19,0.1357142857142857,fish1,29.25,18.69,0.91
20,0.14285714285714285,fish1,29.26,18.71,0.9
21,0.15,fish1,29.25,18.76,0.9
22,0.15714285714285714,fish1,29.25,18.84,0.93
23,0.16428571428571428,fish1,29.23,18.92,0.96
24,0.17142857142857143,fish1,29.21,18.98,0.96
25,0.17857142857142858,fish1,29.17,19.01,0.95
26,0.18571428571428572,fish1,29.14,19.01,0.92
27,0.19285714285714287,fish1,29.12,19.0,0.88
28,0.2,fish1,29.1,19.01,0.86
29,0.20714285714285716,fish1,29.09,19.04,0.85
30,0.21428571428571427,fish1,29.09,19.08,0.86
31,0.22142857142857142,fish1,29.09,19.12,0.85
32,0.22857142857142856,fish1,29.1,19.13,0.88
33,0.2357142857142857,fish1,29.13,19.14,0.88
34,0.24285714285714285,fish1,29.16,19.15,0.92
35,0.25,fish1,29.21,19.17,0.94
36,0.2571428571428571,fish1,29.27,19.2,0.96
37,0.2642857142857143,fish1,29.34,19.24,0.96
38,0.2714285714285714,fish1,29.41,19.28,0.95
39,0.2785714285714286,fish1,29.46,19.33,0.93
40,0.2857142857142857,fish1,29.51,19.36,0.94
41,0.29285714285714287,fish1,29.55,19.39,0.92
42,0.3,fish1,29.56,19.42,0.93
43,0.30714285714285716,fish1,29.57,19.46,0.94
44,0.3142857142857143,fish1,29.56,19.5,0.94
45,0.32142857142857145,fish1,29.56,19.53,0.93
46,0.32857142857142857,fish1,29.56,19.56,0.93
47,0.3357142857142857,fish1,29.57,19.58,0.94
48,0.34285714285714286,fish1,29.56,19.59,0.94
49,0.35,fish1,29.54,19.58,0.93
50,0.35714285714285715,fish1,29.51,19.58,0.93
51,0.36428571428571427,fish1,29.5,19.59,0.93
52,0.37142857142857144,fish1,29.44,19.62,0.92
53,0.37857142857142856,fish1,29.38,19.65,0.91
54,0.38571428571428573,fish1,29.32,19.69,0.9
55,0.39285714285714285,fish1,29.27,19.74,0.9
56,0.4,fish1,29.21,19.79,0.9
57,0.40714285714285714,fish1,29.17,19.84,0.91
58,0.4142857142857143,fish1,29.14,19.87,0.92
59,0.42142857142857143,fish1,29.15,19.93,0.94
60,0.42857142857142855,fish1,29.14,19.95,0.94
61,0.4357142857142857,fish1,29.14,19.97,0.94
62,0.44285714285714284,fish1,29.13,19.96,0.93
63,0.45,fish1,29.11,19.95,0.93
64,0.45714285714285713,fish1,29.09,19.98,0.93
